,PBW_Adj_close,VIX,OVX,VXN,EPU,EMU,EMV_IDT,MA50,MA200,RSI,WAD,StoSLOWD,StoFASTK,StoFASTD,ADX,MACD,MACD Signal,PriceRateOfChange,onBalanceVolume,MFI
2009-06-10,42.283695220947266,28.459999084472656,46.970001220703125,29.770000457763672,98.31,21.51,2.1,34.551613883972166,36.66185040473938,70.73947391541341,-125.57159628658903,-37.80541916316773,-25.571596286589035,-37.4225265621487,24.25368933293354,2.1048489947779245,1.7228556189387125,17.432123893645922,291360.0,75.40524081600681
2009-06-11,42.283695220947266,28.110000610351562,47.25,29.729999542236328,92.19,17.29,6.76,34.8259880065918,36.50042067527771,70.73947391541341,-126.66350654933763,-35.3834112493796,-26.663506549337633,-29.745348223795293,25.079530529434887,2.1725349738881903,1.8127914899286082,19.68078909473052,291360.0,81.22746190214556
2009-06-12,41.79509735107422,28.149999618530273,46.38999938964844,29.209999084472656,61.85,14.12,4.97,35.065783462524415,36.34387705802917,67.79700180739854,-130.91218367866847,-31.627878985825244,-30.912183678668477,-27.715762171531733,25.244678696548075,2.1618305978292867,1.8825993115087438,21.001115659006373,148160.0,76.2902219671743
2009-06-15,39.69028854370117,30.809999465942383,46.84000015258789,32.540000915527344,109.84,21.36,1.25,35.24393836975098,36.17135964393616,56.83029556785561,-183.52633936694784,-34.83170675343723,-83.52633936694782,-47.03400986498466,23.96887903072921,1.9609027561940664,1.8982600004458083,10.460223549710523,20040.0,69.53142317800467
2009-06-16,39.126522064208984,32.68000030517578,47.400001525878906,32.31999969482422,123.16,17.02,1.0,35.39428050994873,35.99226466178894,54.296849664737735,-189.55592836690948,-47.582640835786115,-89.55592836690948,-67.99815047084195,22.616603827577787,1.7361613633158797,1.8658402730198227,7.209060313662907,-87080.0,64.08059478195497
2009-06-17,38.11171340942383,31.540000915527344,47.31999969482422,31.469999313354492,59.24,25.92,0.38,35.53259510040283,35.81091458320618,49.97788922204175,-249.84380086263022,-74.22472773377416,-149.84380086263022,-107.64202286549586,21.510983231190124,1.4593432128066226,1.7845408609771827,3.46940064790342,-209700.0,61.77954998509174
2009-06-18,38.37480926513672,30.030000686645508,46.63999938964844,30.030000686645508,70.96,39.51,0.33,35.71150226593018,35.64271939277649,51.06466925362865,-262.0594497636781,-103.15329988913682,-162.05944976367812,-133.81972633107264,20.48433553454444,1.246819907161857,1.6769966702141175,2.304621833784015,-69620.0,61.60704277411432
2009-06-19,38.9010124206543,27.989999771118164,45.15999984741211,28.299999237060547,160.07,7.25,0.0,35.88289215087891,35.484860258102415,53.25225183482305,-254.5955744096011,-132.32045251395724,-154.5955744096011,-155.4996083453032,19.07345044029209,1.10808058999244,1.563213454169782,-2.3584862754042146,64020.0,61.82507033938928
2009-06-22,36.53310775756836,31.170000076293945,46.95000076293945,31.40999984741211,109.85,122.02,1.3,35.970841827392576,35.32831658363342,43.7699562497138,-237.62447402904792,-146.9152780257172,-137.62447402904792,-151.42649940077575,18.88959382215172,0.7978613160666157,1.4101430265491488,-8.215360791218284,-51500.0,55.0956284958274
2009-06-23,36.60829162597656,30.579999923706055,45.54999923706055,30.690000534057617,84.88,16.51,0.0,36.05277793884277,35.17064534187317,44.1102490997346,-210.8511465153927,-147.0943909102532,-110.8511465153927,-134.35706498468062,19.080138845636714,0.5517171642761909,1.2384578540945572,-5.252917058622353,26680.0,57.150252866310204
2009-06-24,37.66067886352539,29.049999237060547,44.459999084472656,29.030000686645508,93.11,13.21,0.0,36.164782485961915,35.0244377040863,48.782620387834925,-199.88877771517082,-133.96834349066452,-99.88877771517082,-116.12146608653718,18.449800637398358,0.4365329256776036,1.0780728684111665,-6.703939651067337,110260.0,56.37810990858642
2009-06-25,38.33721923828125,26.360000610351562,41.0,27.25,70.63,17.95,0.7,36.294076385498045,34.905479516983036,51.58476196625208,-192.84148102465963,-117.22411094098631,-92.84148102465964,-101.19380175174109,17.655145923881836,0.39528316264581775,0.9415149272580967,-6.5934263055036135,180300.0,53.81958599083435
2009-06-26,38.52515411376953,25.93000030517578,40.33000183105469,26.530000686645508,142.31,131.86,0.0,36.403074188232424,34.78633353233337,52.364417107503925,-190.8838257604958,-103.95109866835126,-90.88382576049578,-94.53802816677545,16.868794426637816,0.37345227668954095,0.8279023971443855,-4.65116388852147,263520.0,58.81305357497284
